No.,Model Name,Code Name,Protocol
0,LEICA_CL,N/A,EPPN
1,LEICA_CLUX,N/A,EPPC
2,LEICA_DLUX,N/A,EPPC
3,LEICA_DLUX_7,N/A,EPPC
4,LEICA_DLUX_8,LEICA_JOLLY_JUMPER,EPPC
5,LEICA_M10,N/A,IPPT
6,LEICA_M10_D,N/A,IPPT
7,LEICA_M10_M,LEICA_HYDRA,IPPT
8,LEICA_M10_P,N/A,IPPT
9,LEICA_M10_R,LEICA_MINERVA,IPPT
10,LEICA_M11,LEICA_ARIEL,IPPT
11,LEICA_M11_M,LEICA_RENE,IPPT
12,LEICA_M11_P,LEICA_LUCE,IPPT
13,LEICA_M11_D,LEICA_HEDWIG,IPPT
14,LEICA_Q,N/A,EPPN
15,LEICA_Q2,N/A,EPPC
16,LEICA_Q2_M,LEICA_FERDINAND,EPPN
17,LEICA_Q3,LEICA_WILSON,EPPC
18,LEICA_Q343,LEICA_STEPHANO,EPPC
19,LEICA_S,N/A,IPPT
20,LEICA_S3,N/A,IPPT
21,LEICA_SL,N/A,EPPN
22,LEICA_SL2,LEICA_KERBEROS,EPPN
23,LEICA_SL2_S,LEICA_CHARON,EPPN
24,LEICA_SL3,N/A,EPPN
25,LEICA_SL3S,LEICA_WARP,EPPN
26,LEICA_SOFORT_2,LEICA_CALIMERO,N/A
27,LEICA_T,N/A,EPXT
28,LEICA_TL,N/A,EPXT
29,LEICA_TL2,N/A,EPXT
30,LEICA_VLUX,N/A,EPPC
31,LEICA_VLUX5,LEICA_STYX,EPPC
